Animal No.,Heart Girth,Body Length,Age in Years,Sex,Live Body Wt,
41-20bg1,55.11764706,63.44262295,1.544147844,Female,26.4,
35-21bg2,50.41176471,62.81967213,1.226557153,Female,22.5,
11-21bg2,45.76470588,65.90163934,1.330595483,Male,37.4,
12-21bg2,60.52941176,71.08196721,1.333333333,Female,26,
38-20bg1,54.11764706,65.60655738,1.544147844,Female,24.5,
8-22-1bg2,57.05882353,73.63934426,1.089664613,Female,22.2,
60-20bg1,55.88235294,56.26229508,1.486652977,Female,22.7,
29-20bg1,52.82352941,63.01639344,1.560574949,Female,32.8,
7-22bg2,46.94117647,71.50819672,1.336071184,Male,40.5,
40-20bg1,52.11764706,59.01639344,1.555099247,Female,28.2,
8-21bg1,55.64705882,62.09836066,1.338809035,Female,27.6,
18-22bg2,52.11764706,60.16393443,1.04312115,Male,23,
32-21bg2,53.58823529,61.54098361,1.253935661,Male,25.5,
15-22bg2,58.47058824,60.81967213,1.075975359,Male,26,
43-20bg1,44.70588235,59.24590164,1.563312799,Female,20.1,
14-21bg1,74.76470588,68.2295082,1.325119781,Male,32,
7-20bg1,72.76470588,58.26229508,1.694729637,Female,23.5,
52-20bg1,49.76470588,53.96721311,1.511293634,Female,21.7,
43-21bg2,44.05882353,63.67213115,1.155373032,Female,19.17,
13-22-1bg2,52.23529412,74.32786885,1.084188912,Female,28,
16-22bg2,50.23529412,66.03278689,1.07871321,Female,26.1,
19-20bg1,47.11764706,61.67213115,1.585215606,Female,20.87,
17-21bg1,55.35294118,59.67213115,1.963039014,Female,31.8,
14-20bg1,53.94117647,56.45901639,1.60164271,Female,21,
17-22bg2,47.05882353,63.37704918,1.07871321,Female,23.2,
27-21bg2,47.82352941,61.1147541,1.308692676,Female,30,
26-21bg2,61.52941176,56.39344262,1.319644079,Female,25.5,
1-21bg2,58.23529412,62.39344262,2.001368925,Female,40.9,
55-20bg1,55.47058824,52.42622951,1.503080082,Female,22.15,
27-18bg2,48.17647059,57.44262295,5.021218344,Female,35.2,
70-16bg1,55.70588235,54.06557377,4.90349076,Female,30.7,
90-16bg1,58.64705882,42.55737705,4.881587953,Female,33.8,
78-18bg1,57.52941176,46.68852459,2.934976044,Female,45.7,
2-20bg1,49.94117647,63.24590164,2.765229295,Female,27.1,
25-19bg1,47.41176471,45.57377049,2.327173169,Female,30.8,
23-19bg1,53.94117647,55.57377049,2.332648871,Female,38.2,
105-17bg2,44.64705882,47.80327869,5.133470226,Female,33.4,
40-20bg2,42.23529412,54.85245902,2.85284052,Female,36,
77-18bg2,51.64705882,52.78688525,4.246406571,Female,37.6,
38-20bg2,48.64705882,56.52459016,2.861054073,Female,33.8,
9-20bg2,47.11764706,67.27868852,2.924024641,Female,33.5,
22-19bg1,55.64705882,55.27868852,2.324435318,Female,30.2,
24-18bg1,63.76470588,51.96721311,3.72073922,Female,35.4,
80-17bg1,59.94117647,53.67213115,3.882272416,Female,39.7,
22-19bg2,55.70588235,50.62295082,3.553730322,Female,35.2,
5-17bg1,55.70588235,59.54098361,4.796714579,Female,50.9,
49-16bg2,49.70588235,58.95081967,4.947296372,Female,50,
21-19bg1,55,58.03278689,2.327173169,Female,40.3,
69-16bg1,57.17647059,45.37704918,4.914442163,Female,44.5,
13-27bg1,61.17647059,62.55737705,10.57631759,Female,47.2,
25-19bg2,58.05882353,54.32786885,3.54825462,Female,44,
14-20bg2,56.82352941,54.68852459,2.913073238,Female,31.1,
77-20bg2,43,42.32786885,2.453114305,Female,29.9,
15-12bg1,55.82352941,60.98360656,6.450376454,Female,52.2,
63-20bg2,48.17647059,44.8852459,2.776180698,Female,28.8,
13-25bg1,55.64705882,66.95081967,10.55715264,Female,49.8,
77-18bg1,61.05882353,48.39344262,2.937713895,Female,43.6,
53-15bg1,51.52941176,48.55737705,6.143737166,Female,38.7,
21-18bg2,64.41176471,62.68852459,4.977412731,Female,37.1,
29-19bg1,52.23529412,53.93442623,6.447638604,Female,41.9,
84-19bg2,49.64705882,47.1147541,3.315537303,Female,31.8,
54-17bg1,47.47058824,48.29508197,3.93155373,Female,38.9,
98-16bg1,54.11764706,46.91803279,4.876112252,Female,33.2,
14-01bg1,53.94117647,61.86885246,5.921971253,Female,37.9,
10-19bg2,53.11764706,62.55737705,3.545516769,Female,31.6,
53-16bg2,46.35294118,54.52459016,6.168377823,Female,36,
27-18bg1,55.29411765,58.59016393,3.715263518,Female,37.8,
88-18bg1,54.94117647,40.49180328,2.863791923,Female,40,
7-20bg1,60.17647059,58.78688525,2.058863792,Female,36,
5-17bg2,53.58823529,66.19672131,6.020533881,Female,40.2,
71-20bg2,46.11764706,43.7704918,2.757015743,Female,26.8,
89-18bg1,60.47058824,54.26229508,2.858316222,Female,36.2,
10-19bg1,67.76470588,56.59016393,2.425735797,Female,31.5,
3-19bg1,55.23529412,65.57377049,2.767967146,Female,29.5,
105-17bg1,48.29411765,39.86885246,3.830253251,Female,36.9,
28-18bg1,52.47058824,59.7704918,3.712525667,Female,32.95,
101-16bg1,59.58823529,44.42622951,4.845995893,Female,31.2,
69-20bg2,48.88235294,46.13114754,2.762491444,Female,29.9,
43-20bg2,45.23529412,52.81967213,2.855578371,Female,40,
61-19bg1,52.58823529,46.59016393,2.151950719,Female,31,
36-20bg2,51.64705882,64.29508197,2.866529774,Female,40.8,
12-18bg1,58.70588235,63.86885246,3.761806982,Female,41.35,
